id,bay,section,name,style,row,col,notes,img,gender
10,1,B,Work out plus,2759,5,1,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/8f83e3f50e9848fe9999aaf101308ce3_9366/Workout_Plus_Shoes_White_2759_01_standard.jpg",M
11,1,B,Club C 1985 TV,DV6434,4,1,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/09a42ecf48904d0cb7c1aa8e016bae5f_9366/Club_C_1985_TV_Shoes_White_DV6434_01_standard.jpg",M
12,1,B,RBK Fusium,9922,3,1,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/821af0d430e045fbab4eab1300da40e2_9366/Fusion_Run_2_Shoes_White_EG9922_01_standard.jpg",M
13,1,B,Legacy Lifter,FU7872,1,1,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/47c766470b4c4ea5a838ab10016ff115_9366/Reebok_Legacy_Lifter_Flexweave(r)_Men's_Shoes_Black_FU7872_01_standard.jpg",M
14,1,A,Work out plus black,2760,5,1,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/ea362c8c7d084a479c48aaf801454fe8_9366/Workout_Plus_Shoes_Black_2760_01_standard.jpg",M
15,1,A,Reebok Classic Slide,EH0667,5,1,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/e50bbdbdca89459abeb8aafd0150d2ee_9366/Reebok_Classic_Slide_Black_EH0667_01_standard.jpg",U
16,2,A,Classic Leather,9771,5,1,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/a604d220136c496f9be3ab52010c5e38_9366/Classic_Leather_Men's_Shoes_White_9771_9771_01_standard.jpg",M
17,2,A,Classic Leather,9771,5,2,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/a604d220136c496f9be3ab52010c5e38_9366/Classic_Leather_Men's_Shoes_White_9771_9771_01_standard.jpg",M
18,2,A,Classic Leather Black,116,4,1,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/cee2fbde7f3543f38c95ab6701799e4f_9366/Classic_Leather_Men's_Shoes_Black_116_01_standard.jpg",M
19,2,A,Flash Film Train,FW2745,3,1,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/699634c7eed247bebdc6ab26011c9767_9366/Flashfilm_Trainer_Men's_Training_Shoes_Black_FW2745_01_standard.jpg",M
20,2,A,FloatRide Run 2.0,DV6771,2,1,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/96ea3294a3cc4a7bafeeaa5e014e96fd_9366/Floatride_Run_2_Men's_Running_Shoes_Black_DV6771_01_standard.jpg",M
21,2,A,Daytana DMX MU,FV6077,1,1,"","https://assets.reebok.com/images/h_2000,f_auto,q_auto:sensitive,fl_lossy/094968f838db4245aa95ab3d01615cd6_9366/Daytona_DMX_x_GOK_Shoes_White_FV6077_01_standard.jpg",M
22,2,A,Ex-o-Fit HI,3477,4,2,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/60cdf95300db45b28ffdaaf70109a03a_9366/EX_O_FIT_Hi_Men's_Shoes_White_3477_01_standard.jpg",M
23,2,A,Pyro,DV7298,3,2,"","https://assets.reebok.com/images/h_840,f_auto,q_auto:sensitive,fl_lossy/41889602c8674492b4a6aa78016b1f5b_9366/Pyro_Shoes_Grey_DV7298_01_standard.jpg",M
24,2,A,Pyro,DV5640,2,2,"","",M
25,2,A,Club C 85 MU,EF3246,1,2,"","https://assets.reebok.com/images/h_2000,f_auto,q_auto:sensitive,fl_lossy/c6985f64c8e044fcb9bfaadc01708696_9366/Club_C_85_Men's_Shoes_Blue_EF3246_01_standard.jpg",M
